AcresBurned,Counties,Started,Started_Date,Started_Hour
27.0,"Shasta, CA",2013-08-14T15:37:00Z,2013-08-14,15
25.0,"San Diego, CA",2013-07-28T09:43:00Z,2013-07-28,09
25.0,"Lake, CA",2013-06-20T14:29:00Z,2013-06-20,14
25.0,"Riverside, CA",2013-05-20T13:47:00Z,2013-05-20,13
23.0,"Lake, CA",2013-11-23T14:17:00Z,2013-11-23,14
15.0,"Mendocino, CA",2013-12-30T11:00:00Z,2013-12-30,11
15.0,"Riverside, CA",2013-07-19T17:31:00Z,2013-07-19,17
15.0,"Madera, CA",2013-05-12T13:02:00Z,2013-05-12,13
0.0,"Humboldt, CA",2013-08-03T08:00:00Z,2013-08-03,08
0.0,"Riverside, CA",2013-06-09T12:30:00Z,2013-06-09,12
97717.0,"El Dorado, CA",2014-09-13T16:32:00Z,2014-09-13,16
50042.0,"Siskiyou, CA",2014-08-02T09:00:00Z,2014-08-02,09
39736.0,"Shasta, CA",2014-07-30T20:15:00Z,2014-07-30,20
35302.0,"Siskiyou, CA",2014-07-30T23:00:00Z,2014-07-30,23
32496.0,"Siskiyou, CA",2014-07-30T00:00:00Z,2014-07-30,00
32416.0,"Shasta, CA",2014-07-31T18:04:00Z,2014-07-31,18
14416.0,"San Diego, CA",2014-05-15T14:45:00Z,2014-05-15,14
13838.0,"Madera, CA",2014-07-28T05:45:00Z,2014-07-28,05
13153.0,"Modoc, CA",2014-07-30T19:01:00Z,2014-07-30,19
12661.0,"Shasta, CA",2014-07-11T15:37:00Z,2014-07-11,15
12536.0,"Mendocino, CA",2014-07-30T06:27:00Z,2014-07-30,06
6488.0,"Yolo, CA",2014-07-04T21:32:00Z,2014-07-04,21
6258.0,"Shasta, CA",2014-07-30T20:30:00Z,2014-07-30,20
5503.0,"Siskiyou, CA",2014-07-31T17:45:00Z,2014-07-31,17
5367.0,"San Diego, CA",2014-05-14T09:45:00Z,2014-05-14,09
4840.0,"Monterey, CA",2014-06-19T15:14:00Z,2014-06-19,15
4772.0,"Mariposa, CA",2014-08-16T00:00:00Z,2014-08-16,00
