AcresBurned,Counties,Started,Started_Date,Started_Hour,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Fire
35302.0,"Siskiyou, CA",2014-07-30T23:00:00Z,2014-07-30,23.0,34.13,0.15,1.91,253.9,0.0,0.15,1
32496.0,"Siskiyou, CA",2014-07-30T00:00:00Z,2014-07-30,0.0,34.09,0.11,2.57,238.14,0.01,0.15,1
32416.0,"Shasta, CA",2014-07-31T18:04:00Z,2014-07-31,18.0,33.17,0.21,1.02,189.43,0.0,0.24,1
14416.0,"San Diego, CA",2014-05-15T14:45:00Z,2014-05-15,14.0,20.84,0.34,2.69,76.34,0.0,0.03,1
13838.0,"Madera, CA",2014-07-28T05:45:00Z,2014-07-28,5.0,31.75,0.24,3.33,310.38,0.0,0.13,1
13153.0,"Modoc, CA",2014-07-30T19:01:00Z,2014-07-30,19.0,30.66,0.18,2.34,222.76,0.0,0.05,1
12661.0,"Shasta, CA",2014-07-11T15:37:00Z,2014-07-11,15.0,22.25,0.32,1.2,9.64,0.01,0.24,1
12536.0,"Mendocino, CA",2014-07-30T06:27:00Z,2014-07-30,6.0,15.78,0.94,2.94,333.98,0.0,0.1,1
6488.0,"Yolo, CA",2014-07-04T21:32:00Z,2014-07-04,21.0,14.48,0.89,1.67,207.75,0.0,0.32,1
6258.0,"Shasta, CA",2014-07-30T20:30:00Z,2014-07-30,20.0,36.66,0.18,2.43,190.73,0.0,0.24,1
5503.0,"Siskiyou, CA",2014-07-31T17:45:00Z,2014-07-31,17.0,27.76,0.25,0.94,143.78,0.0,0.15,1
5367.0,"San Diego, CA",2014-05-14T09:45:00Z,2014-05-14,9.0,19.59,0.34,2.33,36.72,0.0,0.03,1
4840.0,"Monterey, CA",2014-06-19T15:14:00Z,2014-06-19,15.0,13.12,0.77,2.17,314.68,0.0,0.05,1
4772.0,"Mariposa, CA",2014-08-16T00:00:00Z,2014-08-16,0.0,31.5,0.29,3.6,231.76,0.0,0.06,1
4689.0,"Mariposa, CA",2014-07-26T17:00:00Z,2014-07-26,17.0,26.37,0.39,1.69,194.84,0.0,0.06,1
4300.0,"Napa, CA",2014-07-01T12:08:00Z,2014-07-01,12.0,14.45,0.87,2.24,223.52,0.0,0.11,1
4300.0,"Lake, CA",2014-07-01T12:08:00Z,2014-07-01,12.0,22.26,0.84,1.83,203.29,0.0,0.2,1
4240.0,"Amador, CA",2014-07-25T16:34:00Z,2014-07-25,16.0,26.01,0.23,1.22,192.64,0.0,0.2,1
4240.0,"El Dorado, CA",2014-07-25T16:34:00Z,2014-07-25,16.0,27.22,0.57,4.49,116.02,0.01,0.04,1
4045.0,"Kern, CA",2014-08-18T14:30:00Z,2014-08-18,14.0,19.49,0.63,0.74,114.35,0.0,0.06,1
3895.0,"Kern, CA",2014-06-13T17:00:00Z,2014-06-13,17.0,20.55,0.45,2.22,208.47,0.0,0.06,1
2143.0,"San Bernardino, CA",2014-04-30T08:00:00Z,2014-04-30,8.0,15.51,0.13,2.27,42.79,0.0,0.08,1
1995.0,"San Diego, CA",2014-05-14T16:00:00Z,2014-05-14,16.0,26.2,0.17,2.63,21.16,0.0,0.03,1
1952.0,"Los Angeles, CA",2014-01-16T05:50:00Z,2014-01-16,5.0,16.37,0.2,2.45,22.68,0.0,0.02,1
1680.0,"Kern, CA",2014-07-11T13:46:00Z,2014-07-11,13.0,18.25,0.82,0.5,31.37,0.0,0.08,1
1651.0,"Modoc, CA",2014-07-01T19:00:00Z,2014-07-01,19.0,32.07,0.12,2.43,151.93,0.0,0.05,1
1548.0,"San Diego, CA",2014-05-13T11:00:00Z,2014-05-13,11.0,17.22,0.45,3.3,85.0,0.0,0.03,1
1469.0,"Modoc, CA",2014-07-03T15:46:00Z,2014-07-03,15.0,19.65,0.51,0.32,141.11,0.0,0.05,1
1457.0,"San Diego, CA",2014-05-16T11:24:00Z,2014-05-16,11.0,19.0,0.47,1.06,106.27,0.0,0.03,1
1375.0,"Shasta, CA",2014-09-10T00:30:00Z,2014-09-10,0.0,32.68,0.13,2.4,181.58,0.0,0.22,1
1080.0,"Mariposa, CA",2014-07-17T01:00:00Z,2014-07-17,1.0,24.83,0.51,2.34,227.78,0.0,0.15,1
968.0,"Orange, CA",2014-09-12T10:30:00Z,2014-09-12,10.0,20.87,0.82,0.21,150.29,0.0,0.06,1
