AcresBurned,Counties,Started,Started_Date,Started_Hour,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
125.0,"San Diego, CA",2014-03-08T12:30:00Z,2014-03-08,12,13.22,0.83,1.83,42.72,0.0,0.12
120.0,"Calaveras, CA",2014-06-20T15:27:00Z,2014-06-20,15,27.54,0.73,2.09,294.58,0.0,0.16
120.0,"Placer, CA",2014-01-22T13:10:00Z,2014-01-22,13,-1.38,0.58,3.36,68.77,0.0,0.35
113.0,"Inyo, CA",2014-04-19T15:54:00Z,2014-04-19,15,16.01,0.34,0.74,263.53,0.0,0.0
106.0,"Fresno, CA",2014-01-25T06:37:00Z,2014-01-25,6,12.75,0.31,1.22,74.95,0.0,0.11
105.0,"San Diego, CA",2014-05-14T12:12:00Z,2014-05-14,12,19.79,0.3,2.95,70.43,0.0,0.03
101.0,"Modoc, CA",2014-08-12T15:00:00Z,2014-08-12,15,16.31,0.47,2.92,114.91,0.0,0.07
100.0,"Lake, CA",2014-09-03T16:03:00Z,2014-09-03,16,25.32,0.41,3.17,325.99,0.0,0.22
100.0,"Riverside, CA",2014-09-01T14:03:00Z,2014-09-01,14,19.61,0.77,3.73,280.34,0.03,0.24
94.0,"El Dorado, CA",2014-09-14T09:15:00Z,2014-09-14,9,24.85,0.62,2.23,288.35,0.0,0.03
90.0,"Mariposa, CA",2014-06-06T17:29:00Z,2014-06-06,17,21.26,0.49,2.22,193.86,0.0,0.06
85.0,"Calaveras, CA",2014-06-22T12:37:00Z,2014-06-22,12,25.87,0.85,3.29,248.93,0.0,0.16
80.0,"Santa Clara, CA",2014-08-28T15:10:00Z,2014-08-28,15,33.67,0.2,3.63,273.34,0.0,0.12
80.0,"Contra Costa, CA",2014-07-11T21:57:00Z,2014-07-11,21,24.35,0.47,4.94,242.66,0.0,0.14
79.0,"Mariposa, CA",2014-09-07T16:46:00Z,2014-09-07,16,27.91,0.35,0.23,239.67,0.0,0.05
78.0,"Riverside, CA",2014-07-23T10:47:00Z,2014-07-23,10,21.29,0.68,4.56,50.52,0.0,0.17
75.0,"Shasta, CA",2014-07-05T18:44:00Z,2014-07-05,18,29.84,0.14,1.57,183.69,0.0,0.22
75.0,"Monterey, CA",2014-04-30T14:25:00Z,2014-04-30,14,14.99,0.59,3.83,110.14,0.0,0.08
72.0,"Butte, CA",2014-07-14T18:00:00Z,2014-07-14,18,35.59,0.2,1.67,258.42,0.0,0.17
70.0,"Tuolumne, CA",2014-09-04T11:51:00Z,2014-09-04,11,14.57,0.64,2.89,61.22,0.0,0.14
70.0,"Kern, CA",2014-07-01T18:15:00Z,2014-07-01,18,23.7,0.56,2.05,199.36,0.0,0.08
70.0,"Solano, CA",2014-06-12T14:29:00Z,2014-06-12,14,17.62,0.65,0.58,170.8,0.0,0.05
65.0,"Inyo, CA",2014-09-16T19:07:00Z,2014-09-16,19,33.1,0.18,1.55,114.32,0.0,0.0
62.0,"Mendocino, CA",2014-09-21T16:13:00Z,2014-09-21,16,16.53,0.85,1.68,206.86,0.01,0.13
60.0,"Butte, CA",2014-01-01T10:46:00Z,2014-01-01,10,1.35,0.56,3.52,52.32,0.0,0.24
57.0,"Riverside, CA",2014-03-28T14:31:00Z,2014-03-28,14,8.36,0.77,5.68,92.93,1.19,0.31
56.0,"San Diego, CA",2014-05-14T17:43:00Z,2014-05-14,17,27.96,0.14,2.85,8.65,0.0,0.03
50.0,"Shasta, CA",2014-05-14T14:00:00Z,2014-05-14,14,13.85,0.43,2.53,356.73,0.0,0.26
48.0,"San Bernardino, CA",2014-10-16T14:34:00Z,2014-10-16,14,12.37,0.79,0.61,144.34,0.01,0.06
47.0,"San Luis Obispo, CA",2014-07-07T16:12:00Z,2014-07-07,16,19.52,0.5,1.33,235.65,0.0,0.12
40.0,"Fresno, CA",2014-06-09T15:15:00Z,2014-06-09,15,27.38,0.22,0.73,311.05,0.0,0.13
37.0,"Humboldt, CA",2014-08-01T15:47:00Z,2014-08-01,15,23.05,0.65,2.47,8.04,0.0,0.28
37.0,"Stanislaus, CA",2014-05-27T11:23:00Z,2014-05-27,11,17.97,0.34,1.9,292.43,0.0,0.12
31.0,"Riverside, CA",2014-06-06T17:32:00Z,2014-06-06,17,20.52,0.54,6.23,107.55,0.0,0.26
30.0,"Siskiyou, CA",2014-07-29T13:00:00Z,2014-07-29,13,14.92,0.49,1.25,139.22,0.0,0.15
30.0,"El Dorado, CA",2014-07-09T14:34:00Z,2014-07-09,14,27.04,0.41,6.26,313.17,0.0,0.04
29.0,"San Diego, CA",2014-05-05T16:36:00Z,2014-05-05,16,16.25,0.7,2.86,211.15,0.0,0.03
27.0,"Napa, CA",2014-09-11T15:14:00Z,2014-09-11,15,15.3,0.74,1.05,277.39,0.0,0.13
25.0,"Ventura, CA",2014-09-29T19:35:00Z,2014-09-29,19,21.18,0.73,1.41,289.86,0.59,0.43
25.0,"Shasta, CA",2014-08-29T12:21:00Z,2014-08-29,12,18.23,0.51,1.17,347.49,0.0,0.25
25.0,"Fresno, CA",2014-06-11T07:30:00Z,2014-06-11,7,27.23,0.26,2.66,296.23,0.0,0.12
20.0,"El Dorado, CA",2014-09-25T18:00:00Z,2014-09-25,18,22.67,0.62,5.43,320.76,0.0,0.05
20.0,"San Diego, CA",2014-08-16T16:22:00Z,2014-08-16,16,23.73,0.69,2.31,306.76,0.0,0.04
18.0,"Humboldt, CA",2014-01-03T10:30:00Z,2014-01-03,10,-8.39,0.93,2.55,28.04,0.22,0.25
15.0,"Trinity, CA",2014-07-01T03:45:00Z,2014-07-01,3,28.07,0.72,5.63,201.87,0.0,0.34
14.0,"Placer, CA",2014-07-21T14:49:00Z,2014-07-21,14,15.7,0.95,1.37,58.58,0.0,0.25
14.0,"Riverside, CA",2014-06-04T15:18:00Z,2014-06-04,15,10.77,0.87,6.83,272.54,0.69,0.31
10.0,"Madera, CA",2014-08-26T16:23:00Z,2014-08-26,16,21.55,0.49,2.19,309.15,0.0,0.12
6.0,"Napa, CA",2014-08-24T03:20:00Z,2014-08-24,3,21.04,0.63,2.51,234.02,0.0,0.12
0.0,"Siskiyou, CA",2014-08-11T22:00:00Z,2014-08-11,22,30.49,0.23,2.0,153.73,0.58,0.18
151623.0,"Fresno, CA",2015-07-31T19:00:00Z,2015-07-31,19,35.55,0.22,2.89,281.35,0.0,0.12
77081.0,"Trinity, CA",2015-07-30T22:30:00Z,2015-07-30,22,30.91,0.46,1.95,300.23,0.0,0.32
69438.0,"Lake, CA",2015-07-29T15:29:00Z,2015-07-29,15,30.65,0.44,1.55,340.64,0.0,0.21
36503.0,"Trinity, CA",2015-07-30T21:30:00Z,2015-07-30,21,31.23,0.41,2.25,311.32,0.0,0.32
31359.0,"San Bernardino, CA",2015-06-17T15:52:00Z,2015-06-17,15,23.43,0.28,0.78,114.02,0.0,0.1
30361.0,"Del Norte, CA",2015-07-31T21:00:00Z,2015-07-31,21,31.08,0.29,1.96,244.12,0.0,0.13
29416.0,"Trinity, CA",2015-07-30T16:00:00Z,2015-07-30,16,29.22,0.46,1.07,309.55,0.0,0.34
25118.0,"Lake, CA",2015-08-09T15:34:00Z,2015-08-09,15,24.95,0.44,2.69,27.66,0.0,0.16
25118.0,"Napa, CA",2015-08-09T15:34:00Z,2015-08-09,15,16.57,0.71,1.37,221.96,0.0,0.14
10570.0,"Lassen, CA",2015-08-03T14:15:00Z,2015-08-03,14,12.63,0.95,0.58,169.62,0.0,0.11
7509.0,"Del Norte, CA",2015-08-01T23:23:00Z,2015-08-01,23,32.47,0.34,1.89,209.77,0.0,0.13
7000.0,"Inyo, CA",2015-02-06T14:07:00Z,2015-02-06,14,10.9,0.38,0.43,178.22,0.0,0.02
7000.0,"Mono, CA",2015-02-06T14:07:00Z,2015-02-06,14,12.69,0.56,7.78,257.03,0.0,0.22
6980.0,"Tulare, CA",2015-07-19T08:00:00Z,2015-07-19,8,27.39,0.47,0.76,98.47,0.0,0.12
5702.0,"Madera, CA",2015-07-25T14:30:00Z,2015-07-25,14,20.9,0.46,2.92,313.58,0.0,0.12
4883.0,"Humboldt, CA",2015-07-30T16:02:00Z,2015-07-30,16,20.01,0.52,6.17,283.18,0.0,0.37
4863.0,"Modoc, CA",2015-07-30T17:45:00Z,2015-07-30,17,27.89,0.12,1.99,127.81,0.0,0.06
4250.0,"San Bernardino, CA",2015-07-17T14:33:00Z,2015-07-17,14,19.51,0.39,0.5,120.77,0.0,0.07
3676.0,"Mono, CA",2015-08-14T21:31:00Z,2015-08-14,21,26.73,0.77,1.39,320.55,0.0,0.17
2700.0,"Alameda, CA",2015-08-19T14:45:00Z,2015-08-19,14,15.31,0.91,2.64,239.64,0.0,0.09
2446.0,"San Luis Obispo, CA",2015-08-16T18:13:00Z,2015-08-16,18,27.8,0.37,1.63,280.13,0.0,0.13
1850.0,"San Diego, CA",2015-08-13T13:03:00Z,2015-08-13,13,20.88,0.86,1.77,306.45,0.0,0.05
1791.0,"San Luis Obispo, CA",2015-06-20T14:41:00Z,2015-06-20,14,15.66,0.61,2.32,2.08,0.0,0.14
1542.0,"Trinity, CA",2015-06-10T15:00:00Z,2015-06-10,15,29.57,0.54,3.3,210.16,0.0,0.33
1450.0,"Merced, CA",2015-07-31T21:37:00Z,2015-07-31,21,35.09,0.2,3.14,285.33,0.0,0.12
1333.0,"Merced, CA",2015-07-18T22:27:00Z,2015-07-18,22,34.29,0.23,1.83,317.93,0.0,0.12
1086.0,"Monterey, CA",2015-09-19T15:00:00Z,2015-09-19,15,15.79,0.77,1.53,351.5,0.0,0.05
1049.0,"Riverside, CA",2015-04-18T18:12:00Z,2015-04-18,18,13.78,0.48,6.88,68.55,0.0,0.17
1042.0,"Butte, CA",2015-09-11T14:15:00Z,2015-09-11,14,19.11,0.4,2.14,56.39,0.0,0.18
920.0,"Madera, CA",2015-06-18T21:00:00Z,2015-06-18,21,36.09,0.1,3.43,292.31,0.0,0.13
860.0,"Butte, CA",2015-10-03T21:15:00Z,2015-10-03,21,25.99,0.3,2.09,208.7,0.0,0.24
673.0,"Lake, CA",2015-09-02T14:57:00Z,2015-09-02,14,25.33,0.62,1.63,277.78,0.0,0.17
670.0,"San Benito, CA",2015-10-12T16:00:00Z,2015-10-12,16,22.51,0.6,2.09,243.2,0.11,0.22
543.0,"Riverside, CA",2015-08-10T11:44:00Z,2015-08-10,11,17.45,0.95,4.78,210.96,0.45,0.22
509.0,"Mono, CA",2015-02-06T16:52:00Z,2015-02-06,16,11.42,0.64,6.25,252.18,0.0,0.22
500.0,"Madera, CA",2015-06-18T14:31:00Z,2015-06-18,14,20.82,0.48,2.23,330.72,0.0,0.13
430.0,"Tulare, CA",2015-07-21T12:35:00Z,2015-07-21,12,25.61,0.56,1.3,234.41,0.0,0.14
415.0,"Mariposa, CA",2015-09-07T21:23:00Z,2015-09-07,21,34.0,0.28,3.64,205.76,0.0,0.05
415.0,"Los Angeles, CA",2015-06-24T13:22:00Z,2015-06-24,13,18.18,0.71,1.15,101.11,0.0,0.05
400.0,"Butte, CA",2015-07-29T11:25:00Z,2015-07-29,11,21.63,0.24,3.46,53.55,0.0,0.17
374.0,"Los Angeles, CA",2015-08-16T13:30:00Z,2015-08-16,13,22.48,0.55,0.74,97.34,0.0,0.05
355.0,"Amador, CA",2015-07-02T01:58:00Z,2015-07-02,1,32.07,0.2,2.03,299.41,0.01,0.2
300.0,"Los Angeles, CA",2015-08-16T15:30:00Z,2015-08-16,15,25.82,0.38,0.87,95.16,0.0,0.05
300.0,"Alameda, CA",2015-06-05T20:22:00Z,2015-06-05,20,22.48,0.5,3.84,239.69,0.0,0.08
282.0,"Ventura, CA",2015-08-02T13:15:00Z,2015-08-02,13,17.96,0.79,0.38,123.93,0.05,0.4
275.0,"Merced, CA",2015-05-11T10:26:00Z,2015-05-11,10,15.33,0.58,2.15,275.96,0.0,0.15
242.0,"Alameda, CA",2015-05-28T17:00:00Z,2015-05-28,17,14.17,0.75,2.73,249.52,0.0,0.09
227.0,"Mendocino, CA",2015-07-30T14:00:00Z,2015-07-30,14,14.5,0.95,0.76,227.46,0.0,0.1
215.0,"Santa Clara, CA",2015-09-09T15:58:00Z,2015-09-09,15,28.99,0.23,4.49,266.12,0.0,0.12
215.0,"Lake, CA",2015-08-22T17:30:00Z,2015-08-22,17,26.63,0.39,1.56,340.8,0.0,0.2
214.0,"Orange, CA",2015-07-13T10:47:00Z,2015-07-13,10,17.42,0.93,1.08,155.19,0.0,0.08
212.0,"Shasta, CA",2015-07-29T17:55:00Z,2015-07-29,17,32.3,0.12,2.86,30.89,0.0,0.25
211.0,"Santa Barbara, CA",2015-06-29T13:11:00Z,2015-06-29,13,18.88,0.6,2.27,317.18,0.0,0.05
204.0,"Tuolumne, CA",2015-07-29T16:30:00Z,2015-07-29,16,29.8,0.16,0.18,173.93,0.0,0.18
200.0,"Los Angeles, CA",2015-07-17T21:30:00Z,2015-07-17,21,30.27,0.3,3.27,202.49,0.0,0.05
200.0,"Siskiyou, CA",2015-02-24T12:15:00Z,2015-02-24,12,-4.7,0.69,1.07,112.43,0.0,0.31
195.0,"Contra Costa, CA",2015-07-30T11:18:00Z,2015-07-30,11,15.95,0.83,3.03,256.56,0.0,0.14
186.0,"Ventura, CA",2015-08-14T15:22:00Z,2015-08-14,15,20.29,0.79,1.21,291.02,0.05,0.43
181.0,"Siskiyou, CA",2015-07-13T17:56:00Z,2015-07-13,17,19.62,0.56,1.11,170.82,0.04,0.31
171.0,"San Diego, CA",2015-06-17T17:03:00Z,2015-06-17,17,20.05,0.72,2.56,230.36,0.0,0.06
170.0,"Fresno, CA",2015-09-09T14:30:00Z,2015-09-09,14,20.38,0.36,1.35,357.98,0.0,0.11
170.0,"Tehama, CA",2015-07-04T16:33:00Z,2015-07-04,16,29.98,0.41,0.44,236.47,0.0,0.11
167.0,"Kern, CA",2015-08-20T15:57:00Z,2015-08-20,15,20.81,0.64,1.19,153.59,0.0,0.06
167.0,"San Diego, CA",2015-07-24T16:18:00Z,2015-07-24,16,22.35,0.73,1.63,285.32,0.0,0.07
164.0,"Ventura, CA",2015-06-22T07:00:00Z,2015-06-22,7,17.06,0.81,0.34,107.96,2.47,0.42
158.0,"Humboldt, CA",2015-07-24T23:00:00Z,2015-07-24,23,24.71,0.38,3.7,296.56,0.0,0.21
158.0,"Yuba, CA",2015-06-18T13:07:00Z,2015-06-18,13,16.62,0.67,1.69,90.11,0.0,0.17
150.0,"Solano, CA",2015-07-06T10:47:00Z,2015-07-06,10,17.06,0.8,0.5,95.93,0.0,0.08
150.0,"Riverside, CA",2015-07-01T20:38:00Z,2015-07-01,20,19.01,0.86,4.87,270.19,0.02,0.13
146.0,"Humboldt, CA",2015-08-18T18:30:00Z,2015-08-18,18,18.46,0.5,0.27,265.69,0.03,0.35
137.0,"Plumas, CA",2015-04-13T05:30:00Z,2015-04-13,5,4.43,0.51,4.52,271.12,0.0,0.34
135.0,"Madera, CA",2015-06-21T12:08:00Z,2015-06-21,12,21.29,0.41,2.8,315.13,0.0,0.13
128.0,"Trinity, CA",2015-08-25T14:08:00Z,2015-08-25,14,16.83,0.74,1.95,298.58,0.0,0.3
122.0,"San Joaquin, CA",2015-06-18T14:09:00Z,2015-06-18,14,27.34,0.73,1.54,85.92,0.01,0.35
116.0,"Modoc, CA",2015-07-23T16:40:00Z,2015-07-23,16,19.1,0.24,1.45,182.82,0.0,0.08
114.0,"Calaveras, CA",2015-08-13T16:15:00Z,2015-08-13,16,30.06,0.66,0.97,90.08,0.12,0.12
112.0,"Tuolumne, CA",2015-08-15T16:11:00Z,2015-08-15,16,26.57,0.21,0.71,154.23,0.0,0.18
111.0,"Lassen, CA",2015-06-30T18:00:00Z,2015-06-30,18,29.49,0.15,0.55,138.81,0.0,0.09
110.0,"Sacramento, CA",2015-09-03T12:12:00Z,2015-09-03,12,16.68,0.69,2.97,180.15,0.0,0.12
110.0,"Tehama, CA",2015-08-08T14:55:00Z,2015-08-08,14,20.06,0.57,0.05,224.51,0.0,0.13
110.0,"Placer, CA",2015-06-08T10:33:00Z,2015-06-08,10,14.16,0.73,3.6,67.83,0.0,0.34
109.0,"Shasta, CA",2015-09-11T15:08:00Z,2015-09-11,15,20.78,0.37,1.75,346.76,0.0,0.23
108.0,"Tuolumne, CA",2015-09-08T13:23:00Z,2015-09-08,13,11.8,0.34,3.23,61.18,0.0,0.15
104.0,"Butte, CA",2015-10-02T14:38:00Z,2015-10-02,14,11.57,0.84,2.48,43.31,0.0,0.27
100.0,"San Bernardino, CA",2015-06-25T18:30:00Z,2015-06-25,18,31.27,0.17,2.31,202.31,0.0,0.07
95.0,"Monterey, CA",2015-09-19T15:25:00Z,2015-09-19,15,15.79,0.77,1.53,351.5,0.0,0.05
95.0,"San Luis Obispo, CA",2015-07-10T12:41:00Z,2015-07-10,12,14.6,0.91,1.23,274.83,0.0,0.12
90.0,"Shasta, CA",2015-07-30T12:57:00Z,2015-07-30,12,19.11,0.38,2.22,348.82,0.0,0.26
86.0,"Tulare, CA",2015-07-30T12:40:00Z,2015-07-30,12,25.06,0.37,0.92,231.9,0.0,0.12
80.0,"San Diego, CA",2015-06-26T16:06:00Z,2015-06-26,16,20.14,0.75,3.22,283.54,0.0,0.05
80.0,"Riverside, CA",2015-06-01T10:16:00Z,2015-06-01,10,11.44,0.75,6.43,218.05,0.27,0.23
77.0,"Modoc, CA",2015-07-23T17:30:00Z,2015-07-23,17,20.37,0.23,2.15,193.59,0.0,0.08
75.0,"Shasta, CA",2015-08-02T03:00:00Z,2015-08-02,3,29.9,0.38,1.98,171.08,0.0,0.26
75.0,"Shasta, CA",2015-07-29T16:30:00Z,2015-07-29,16,30.34,0.16,2.71,13.87,0.0,0.25
75.0,"El Dorado, CA",2015-07-23T14:00:00Z,2015-07-23,14,32.34,0.48,5.61,296.5,0.02,0.05
75.0,"Butte, CA",2015-07-01T13:05:00Z,2015-07-01,13,22.93,0.54,2.36,47.86,0.0,0.16
72.0,"Butte, CA",2015-09-02T13:18:00Z,2015-09-02,13,17.8,0.56,3.23,125.2,0.0,0.16
69.0,"Siskiyou, CA",2015-08-20T16:00:00Z,2015-08-20,16,20.21,0.45,0.28,65.9,0.0,0.16
67.0,"Kern, CA",2015-06-15T15:46:00Z,2015-06-15,15,19.43,0.66,1.12,213.42,0.0,0.09
65.0,"San Bernardino, CA",2015-08-01T13:04:00Z,2015-08-01,13,19.69,0.7,0.26,181.67,0.0,0.1
60.0,"Fresno, CA",2015-07-18T16:31:00Z,2015-07-18,16,28.02,0.29,1.48,314.08,0.0,0.12
60.0,"Lassen, CA",2015-06-19T16:15:00Z,2015-06-19,16,19.71,0.21,0.78,271.26,0.0,0.09
60.0,"Riverside, CA",2015-06-18T14:16:00Z,2015-06-18,14,17.7,0.58,4.85,297.25,0.0,0.19
60.0,"Mariposa, CA",2015-06-18T12:03:00Z,2015-06-18,12,16.83,0.6,0.6,68.86,0.0,0.07
60.0,"Amador, CA",2015-06-16T16:42:00Z,2015-06-16,16,22.89,0.28,0.85,265.8,0.0,0.24
59.0,"Shasta, CA",2015-08-03T14:28:00Z,2015-08-03,14,20.05,0.66,0.7,20.48,0.0,0.27
58.0,"Siskiyou, CA",2015-10-10T12:00:00Z,2015-10-10,12,9.21,0.62,1.93,154.58,0.0,0.18
55.0,"San Bernardino, CA",2015-08-23T12:25:00Z,2015-08-23,12,19.43,0.52,0.35,213.24,0.0,0.07
55.0,"San Diego, CA",2015-08-09T08:22:00Z,2015-08-09,8,18.91,0.78,2.33,294.14,0.0,0.04
55.0,"Tehama, CA",2015-06-17T12:50:00Z,2015-06-17,12,21.06,0.42,0.42,311.1,0.0,0.13
54.0,"San Bernardino, CA",2015-07-12T14:46:00Z,2015-07-12,14,16.54,0.78,0.23,231.04,0.0,0.08
53.0,"Alameda, CA",2015-06-25T16:10:00Z,2015-06-25,16,19.06,0.61,1.79,226.64,0.0,0.09
52.0,"Santa Barbara, CA",2015-08-01T14:32:00Z,2015-08-01,14,19.57,0.82,1.47,326.89,0.0,0.06
50.0,"Ventura, CA",2015-11-07T01:45:00Z,2015-11-07,1,18.52,0.92,0.28,316.48,0.1,0.44
50.0,"Mendocino, CA",2015-07-30T13:36:00Z,2015-07-30,13,15.09,0.98,1.67,198.92,0.02,0.1
45.0,"Kern, CA",2015-09-09T11:45:00Z,2015-09-09,11,24.27,0.59,1.19,22.6,0.0,0.05
45.0,"Alameda, CA",2015-07-02T04:40:00Z,2015-07-02,4,21.09,0.66,1.83,244.59,0.0,0.08
45.0,"Fresno, CA",2015-06-05T17:00:00Z,2015-06-05,17,24.47,0.35,0.92,324.92,0.0,0.13
43.0,"Modoc, CA",2015-07-09T15:00:00Z,2015-07-09,15,15.9,0.76,3.04,157.86,0.11,0.18
42.0,"Santa Clara, CA",2015-06-30T15:23:00Z,2015-06-30,15,34.94,0.22,4.55,205.94,0.0,0.13
40.0,"Lassen, CA",2015-09-09T14:12:00Z,2015-09-09,14,11.44,0.46,0.87,95.4,0.0,0.09
40.0,"Stanislaus, CA",2015-07-28T12:10:00Z,2015-07-28,12,19.97,0.45,1.47,238.49,0.0,0.14
40.0,"Solano, CA",2015-07-10T13:36:00Z,2015-07-10,13,15.54,0.89,0.7,202.91,0.0,0.06
38.0,"Napa, CA",2015-06-16T14:27:00Z,2015-06-16,14,12.39,0.92,1.39,216.49,0.0,0.15
36.0,"Napa, CA",2015-06-09T15:23:00Z,2015-06-09,15,16.8,0.73,2.97,232.65,0.0,0.13
35.0,"Trinity, CA",2015-09-08T15:56:00Z,2015-09-08,15,28.21,0.59,3.74,201.1,0.0,0.21
35.0,"El Dorado, CA",2015-07-03T09:28:00Z,2015-07-03,9,27.89,0.53,1.55,124.24,0.0,0.04
35.0,"Mendocino, CA",2015-06-28T13:30:00Z,2015-06-28,13,15.37,0.91,1.43,208.27,0.0,0.11
30.0,"Lassen, CA",2015-08-29T16:06:00Z,2015-08-29,16,19.07,0.46,5.57,208.4,0.0,0.08
30.0,"Yuba, CA",2015-08-03T18:07:00Z,2015-08-03,18,25.31,0.44,2.6,207.84,0.0,0.16
29.0,"Ventura, CA",2015-11-11T17:40:00Z,2015-11-11,17,23.24,0.74,1.49,287.75,0.84,0.44
26.0,"Placer, CA",2015-07-22T18:17:00Z,2015-07-22,18,24.3,0.36,3.31,204.48,0.0,0.27
25.0,"San Diego, CA",2015-07-24T12:43:00Z,2015-07-24,12,20.44,0.9,1.18,286.62,0.01,0.07
25.0,"San Benito, CA",2015-07-20T13:23:00Z,2015-07-20,13,16.1,0.64,0.66,64.96,0.0,0.17
25.0,"San Diego, CA",2015-07-16T11:30:00Z,2015-07-16,11,17.93,0.84,1.15,256.23,0.0,0.05
25.0,"El Dorado, CA",2015-07-02T17:10:00Z,2015-07-02,17,28.16,0.53,3.81,131.12,0.0,0.04
25.0,"Mariposa, CA",2015-06-07T12:06:00Z,2015-06-07,12,14.95,0.84,0.71,77.64,0.0,0.08
25.0,"Lake, CA",2015-06-05T19:57:00Z,2015-06-05,19,21.37,0.66,1.51,158.4,0.0,0.31
25.0,"Riverside, CA",2015-06-05T13:32:00Z,2015-06-05,13,14.31,0.85,6.86,260.23,0.07,0.22
24.0,"Siskiyou, CA",2015-07-21T17:00:00Z,2015-07-21,17,24.55,0.44,1.17,195.5,0.0,0.19
23.0,"Mendocino, CA",2015-07-04T15:30:00Z,2015-07-04,15,16.29,0.81,0.84,280.45,0.0,0.1
22.0,"Lake, CA",2015-08-24T12:12:00Z,2015-08-24,12,20.75,0.95,0.42,142.64,0.0,0.19
21.0,"Santa Barbara, CA",2015-10-29T05:30:00Z,2015-10-29,5,18.24,0.72,4.54,316.47,0.0,0.06
21.0,"Riverside, CA",2015-07-12T13:52:00Z,2015-07-12,13,18.93,0.78,5.94,248.01,0.15,0.18
20.0,"Humboldt, CA",2015-06-10T07:42:00Z,2015-06-10,7,12.68,0.63,0.86,159.39,0.0,0.19
19.0,"Napa, CA",2015-06-27T12:51:00Z,2015-06-27,12,14.7,0.79,2.58,252.17,0.0,0.13
18.0,"Shasta, CA",2015-07-07T12:34:00Z,2015-07-07,12,21.83,0.48,0.54,46.16,0.0,0.26
16.0,"Humboldt, CA",2015-07-28T17:19:00Z,2015-07-28,17,13.41,0.91,11.0,8.06,4.85,0.44
0.0,"Trinity, CA",2015-07-30T16:00:00Z,2015-07-30,16,29.22,0.46,1.07,309.55,0.0,0.34
132127.0,"Monterey, CA",2016-07-22T08:48:00Z,2016-07-22,8,12.75,0.9,2.79,335.82,0.0,0.05
48019.0,"Kern, CA",2016-06-23T15:51:00Z,2016-06-23,15,20.3,0.58,1.15,173.8,0.0,0.08
46344.0,"San Luis Obispo, CA",2016-08-13T16:03:00Z,2016-08-13,16,18.54,0.66,0.99,307.36,0.0,0.14
36274.0,"San Bernardino, CA",2016-08-16T10:44:00Z,2016-08-16,10,20.62,0.27,0.7,93.23,0.0,0.05
33867.0,"Siskiyou, CA",2016-08-27T18:00:00Z,2016-08-27,18,23.28,0.32,1.01,218.84,0.0,0.16
32606.0,"Santa Barbara, CA",2016-08-18T17:57:00Z,2016-08-18,17,20.57,0.42,2.28,154.21,0.0,0.07
29322.0,"Kern, CA",2016-08-16T16:35:00Z,2016-08-16,16,24.39,0.29,0.75,215.79,0.0,0.07
12518.0,"Santa Barbara, CA",2016-09-17T17:20:00Z,2016-09-17,17,22.03,0.4,1.44,210.44,0.0,0.07
8110.0,"San Bernardino, CA",2016-08-07T12:18:00Z,2016-08-07,12,18.99,0.57,0.17,112.99,0.0,0.08
7609.0,"San Diego, CA",2016-06-19T11:03:00Z,2016-06-19,11,20.2,0.75,2.82,319.68,0.0,0.04
7474.0,"Santa Barbara, CA",2016-06-15T15:21:00Z,2016-06-15,15,15.86,0.55,3.7,300.36,0.0,0.07
7050.0,"Fresno, CA",2016-08-09T13:08:00Z,2016-08-09,13,20.65,0.43,1.76,308.4,0.0,0.12
5731.0,"Yolo, CA",2016-08-02T16:36:00Z,2016-08-02,16,19.36,0.66,1.87,257.12,1.74,0.33
5646.0,"El Dorado, CA",2016-06-28T13:55:00Z,2016-06-28,13,29.2,0.39,3.73,301.07,0.0,0.04
5646.0,"Placer, CA",2016-06-28T13:55:00Z,2016-06-28,13,15.48,0.46,3.03,72.85,0.0,0.24
5443.0,"Inyo, CA",2016-09-17T13:49:00Z,2016-09-17,13,19.34,0.17,1.35,290.99,0.0,0.0
5399.0,"Los Angeles, CA",2016-06-20T13:59:00Z,2016-06-20,13,22.44,0.39,1.45,50.38,0.0,0.05
4824.0,"Los Angeles, CA",2016-11-14T05:45:00Z,2016-11-14,5,18.62,0.36,1.25,28.29,0.0,0.05
4474.0,"Santa Clara, CA",2016-09-26T14:42:00Z,2016-09-26,14,28.3,0.26,2.61,321.99,0.0,0.13
4347.0,"Tulare, CA",2016-10-29T11:15:00Z,2016-10-29,11,15.99,0.84,0.84,52.94,0.02,0.21
3929.0,"Lake, CA",2016-08-13T18:03:00Z,2016-08-13,18,32.93,0.61,2.71,206.82,0.03,0.3
3876.0,"Monterey, CA",2016-05-22T15:27:00Z,2016-05-22,15,11.81,0.79,0.78,322.78,0.0,0.06
3712.0,"San Luis Obispo, CA",2016-05-18T14:27:00Z,2016-05-18,14,13.94,0.88,0.76,106.02,0.0,0.14
2944.0,"Fresno, CA",2016-07-01T17:16:00Z,2016-07-01,17,31.82,0.26,1.06,245.05,0.0,0.14
2860.0,"Siskiyou, CA",2016-06-07T02:45:00Z,2016-06-07,2,28.01,0.38,1.89,283.35,0.0,0.18
2819.0,"Mono, CA",2016-08-04T14:09:00Z,2016-08-04,14,29.02,0.55,4.4,139.11,0.0,0.08
