temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties_Idx,Started_Date
11.24,0.71,1.34,288.88,0.0,0.35,15,2016-03-15
12.84,0.89,1.56,167.1,0.0,0.33,33,2014-02-15
11.31,0.72,3.26,175.88,0.0,0.34,45,2019-10-15
15.53,0.81,0.26,25.75,0.0,0.05,18,2013-06-29
25.46,0.6,1.1,65.43,0.01,0.09,47,2014-10-15
1.35,0.56,3.52,52.32,0.0,0.24,14,2014-01-01
15.01,0.8,1.2,73.67,0.03,0.17,27,2016-07-09
-18.98,0.68,2.81,13.75,0.0,0.29,21,2014-03-15
10.72,0.47,2.41,208.66,0.0,0.25,38,2015-03-15
32.62,0.23,1.76,306.16,0.0,0.12,15,2017-07-20
14.01,0.85,1.71,170.84,0.0,0.13,23,2018-05-29
16.31,0.64,1.3,15.65,0.0,0.08,11,2017-03-15
4.73,0.58,2.41,63.7,0.0,0.39,0,2019-03-15
9.67,0.74,1.84,86.77,0.0,0.39,39,2017-11-15
18.62,0.64,3.12,310.04,0.0,0.15,24,2013-03-15
21.53,0.34,6.17,300.33,0.0,0.17,41,2017-06-29
17.22,0.89,3.47,225.85,0.0,0.12,13,2013-08-15
14.74,0.37,1.43,73.01,0.0,0.19,48,2014-08-15
29.39,0.26,2.07,301.2,0.0,0.12,5,2016-07-04
16.73,0.66,3.91,351.36,0.0,0.27,26,2016-02-15
16.01,0.34,0.74,263.53,0.0,0.0,25,2014-04-19
23.06,0.86,0.99,121.0,0.01,0.37,28,2014-09-15
21.38,0.6,3.41,174.87,0.0,0.1,46,2018-07-15
12.32,0.91,1.58,336.1,0.0,0.24,34,2014-02-15
21.44,0.72,0.27,66.01,0.0,0.08,11,2018-08-03
11.6,0.71,1.3,242.36,0.0,0.22,47,2017-03-15
11.36,0.54,2.97,64.55,0.0,0.33,0,2017-03-15
19.31,0.42,1.57,74.05,0.0,0.2,3,2016-08-15
20.8,0.65,1.46,342.84,0.0,0.15,23,2017-07-06
25.85,0.31,0.7,181.64,0.0,0.16,6,2017-07-26
8.8,0.86,1.32,41.26,0.0,0.21,11,2016-01-15
21.09,0.65,3.16,166.94,0.0,0.26,45,2013-06-15
13.27,0.88,0.46,69.94,0.0,0.19,27,2014-12-15
21.03,0.88,2.09,17.51,0.0,0.18,28,2014-03-15
11.86,0.21,4.34,33.24,0.0,0.18,14,2018-10-15
12.05,0.96,0.61,73.23,0.01,0.31,27,2018-04-15
8.79,0.61,2.96,78.56,0.0,0.41,39,2017-02-15
14.6,0.73,0.93,49.58,0.0,0.05,11,2017-10-12
10.72,0.75,1.85,44.59,0.0,0.27,23,2019-03-15
17.43,0.87,0.02,316.08,2.77,0.44,4,2014-06-15
16.94,0.75,0.46,100.67,1.52,0.4,4,2014-07-15
16.38,0.66,3.84,246.03,0.0,0.05,10,2017-05-25
13.38,0.66,0.68,283.8,0.0,0.22,47,2014-02-15
9.26,0.79,3.51,220.45,0.0,0.35,38,2016-10-15
23.16,0.42,0.93,351.16,0.0,0.23,9,2014-07-09
14.8,0.86,0.65,117.21,0.54,0.41,4,2018-07-15
7.83,0.59,2.0,69.29,0.0,0.25,3,2014-10-08
18.29,0.75,5.74,259.4,0.0,0.18,2,2017-07-03
34.39,0.19,3.83,351.78,0.01,0.05,22,2013-07-03
1.56,0.94,3.09,219.27,0.62,0.47,3,2019-12-15
10.73,0.66,0.58,137.22,0.0,0.36,8,2017-02-15
15.34,0.68,6.1,352.55,0.0,0.05,42,2013-03-15
-1.85,0.6,4.05,262.44,0.01,0.07,31,2015-12-15
18.37,0.77,1.09,139.42,0.0,0.06,17,2015-07-15
26.87,0.81,1.2,160.28,0.0,0.17,42,2018-07-15
8.87,0.74,3.94,316.36,0.0,0.23,5,2018-04-12
15.57,0.5,1.2,141.29,0.0,0.15,6,2017-07-25
6.95,0.67,1.52,29.42,0.0,0.26,0,2017-05-15
10.14,0.66,2.52,86.57,0.0,0.34,39,2016-11-15
22.49,0.58,1.21,98.47,0.0,0.05,1,2019-09-15
21.29,0.6,3.36,109.51,0.0,0.21,29,2018-07-21
15.95,0.65,1.5,299.71,0.01,0.24,2,2019-05-20
20.21,0.38,1.1,280.11,0.0,0.05,22,2019-07-17
15.38,0.79,0.71,87.66,0.0,0.2,3,2017-08-15
12.79,0.79,2.3,313.82,0.0,0.2,36,2016-04-24
30.65,0.26,5.12,335.13,0.0,0.11,8,2017-06-18
17.04,0.64,4.67,324.11,0.0,0.15,19,2015-10-15
15.89,0.21,8.75,358.26,0.0,0.06,13,2019-10-27
8.18,0.81,2.03,168.56,0.02,0.38,33,2018-03-15
12.43,0.38,1.92,25.5,0.0,0.16,6,2016-09-12
16.2,0.15,2.89,327.44,0.0,0.02,44,2017-10-15
10.1,0.73,4.99,304.85,0.0,0.17,19,2018-12-15
10.8,0.68,1.31,92.53,0.0,0.26,47,2017-02-15
19.49,0.63,0.74,114.35,0.0,0.06,11,2014-08-18
18.91,0.78,2.33,294.14,0.0,0.04,10,2015-08-09
17.22,0.57,1.81,61.24,0.0,0.1,19,2013-04-15
24.8,0.48,1.52,186.45,0.0,0.04,19,2013-06-15
13.5,0.8,2.17,189.14,0.04,0.09,43,2013-04-15
3.39,0.78,1.57,80.58,0.0,0.45,3,2014-12-15
24.89,0.39,0.23,67.43,0.0,0.1,5,2015-10-15
21.38,0.53,0.66,131.32,0.0,0.09,20,2017-07-14
14.08,0.78,1.6,345.4,0.0,0.06,49,2018-01-15
9.15,0.93,1.12,36.39,0.0,0.35,12,2018-01-15
21.33,0.97,1.29,348.96,0.01,0.19,28,2019-03-15
18.87,0.37,1.65,51.41,0.0,0.16,14,2014-07-28
13.67,0.69,0.87,63.66,0.0,0.25,48,2015-07-15
16.54,0.78,0.23,231.04,0.0,0.08,20,2015-07-12
12.68,0.39,2.61,52.94,0.0,0.13,23,2019-10-11
15.05,0.89,3.78,182.25,0.06,0.39,41,2014-10-15
12.6,0.86,1.29,48.79,0.0,0.18,1,2016-03-15
19.69,0.45,0.51,45.02,0.0,0.14,23,2015-03-15
15.68,0.54,3.35,146.31,0.0,0.33,40,2019-04-15
20.25,0.67,2.57,203.88,0.0,0.22,2,2016-08-30
12.6,0.97,4.14,322.38,0.0,0.13,37,2019-06-15
16.16,0.27,1.03,306.12,0.0,0.01,25,2016-02-15
18.8,0.66,2.33,136.87,0.28,0.13,8,2015-09-15
15.66,0.72,3.55,353.93,0.0,0.3,12,2016-02-15
19.92,0.45,3.25,266.85,0.0,0.13,36,2013-05-15
15.22,0.44,2.6,120.96,0.0,0.37,3,2015-03-15
0.77,0.78,2.33,207.96,0.94,0.42,6,2019-02-15
21.71,0.98,0.84,23.26,0.0,0.4,28,2018-10-15
18.43,0.63,2.39,304.56,0.0,0.05,18,2017-07-08
15.92,0.93,3.4,268.69,0.0,0.19,2,2019-09-15
8.49,0.46,4.28,333.18,0.0,0.2,8,2018-02-15
13.92,0.57,3.16,32.5,0.0,0.07,30,2018-10-15
20.82,0.69,1.54,193.88,0.0,0.22,31,2014-08-15
13.83,0.79,1.14,258.73,0.0,0.05,10,2014-04-15
15.1,0.76,0.61,11.58,0.0,0.31,21,2013-07-15
19.29,0.17,3.1,18.71,0.0,0.06,17,2016-02-15
21.53,0.64,1.12,169.77,0.0,0.06,1,2017-07-28
15.57,0.81,2.35,229.02,0.0,0.13,26,2016-08-15
17.81,0.44,0.87,116.86,0.0,0.06,19,2016-04-15
9.61,0.82,2.98,131.23,0.0,0.32,40,2015-11-15
-24.5,0.76,2.69,212.2,0.0,0.27,21,2014-01-15
21.82,0.89,1.68,21.78,0.0,0.3,28,2016-01-15
3.61,0.84,1.65,310.62,0.0,0.16,38,2017-05-15
11.51,0.85,0.88,70.98,0.0,0.21,27,2017-06-15
11.99,0.68,1.57,68.02,0.0,0.05,18,2018-11-15
21.07,0.74,0.94,169.14,4.34,0.07,35,2014-07-15
15.02,0.92,3.25,245.02,0.0,0.17,13,2016-05-15
18.05,0.78,1.07,187.6,0.0,0.04,11,2014-10-15
11.32,0.8,2.8,260.57,0.0,0.08,30,2017-05-15
17.8,0.66,1.59,155.22,0.0,0.14,44,2016-05-15
28.55,0.14,2.11,289.91,0.0,0.12,15,2017-07-18
